irl	naziv_ust_HR	naziv_ust_EN	ulica_br	ptt_br	naziv_mj
176	Opæa bolnica Šibenik	Scientific Unit-General Hospital Šibenik	Stjepana Radiæa 83	22000	ŠIBENIK
190	Filozofsko-teološki institut Družbe Isusove, Zagreb	Philosophical Theological Institute of the Society of Jesus	Jordanovac 110	10000	ZAGREB
193	Institut prometa i veza, Zagreb	Institute of Transportation and Communications, Zagreb	Kušlanova 2	10000	ZAGREB
206	Klinika za ortopediju Lovran	Orthopedic Clinic Lovran	Šetalište M. Tita 1	51415	LOVRAN
208	Hrvatski zavod za transfuzijsku medicinu	Croatian Institute for Transfusion Medicine	Petrova 3	10000	ZAGREB
217	Zdravstveno veleuèilište, Zagreb	Health Polytechnic	Mlinarska cesta 38	10000	ZAGREB
220	Centar za klinièku primjenu neuroznanosti	Center for Clinical Implementation of Neurosciences	Šalata 10	10000	ZAGREB
221	Hrvatski hidrografski institut	Hydrographic Institute of the Republic of Croatia	Zrinsko Frankopanska 161	21000	SPLIT
223	Poliklinika Aviva	Medical Centre Aviva	Nemetova 2	10000	ZAGREB
228	Opæa bolnica Zabok	General Hospital Zabok	Braèak 8	49210	ZABOK
230	Klinièki bolnièki centar Rijeka	Clinical Center Rijeka	Krešimirova 42	51000	RIJEKA
248	Veleuèilište u Karlovcu	Polytechnic of Karlovac	Ivana Meštroviæa 10	47000	KARLOVAC
255	Zagrebaèka škola ekonomije i managementa, Zagreb	Zagreb School of Economics and Management	Jordanovac 110	10000	ZAGREB
256	Opæa bolnica Karlovac	General Hospital Karlovac	Andrije Štampara 3	47000	KARLOVAC
271	Visoko evanðeosko teološko uèilište, Osijek	Evangelical Theological Seminary	Cvjetkova 32, p.p.370	31000	OSIJEK
272	Mediteranski institut za istraživanje života	Mediterranean Institute for Life Sciences	Meštroviæevo šetalište 45	21000	SPLIT
273	OIKON d.o.o.	OIKON Ltd-Institute for Applied Ecology	Trg senjskih uskoka 1	10000	ZAGREB
279	SMS-Prehrambeno razvojni centar	SMS-Food Development Centre	Kurtoviæi bb	21000	SPLIT
288	Opæa županijska bolnica Požega	County General Hospital Požega	Osjeèka 107	34000	POŽEGA
289	PLIVA HRVATSKA d.o.o.	PLIVA CROATIA Ltd.	Prilaz baruna Filipoviæa 25	10000	ZAGREB
290	Fidelta d.o.o.	Fidelta Ltd. for research and development	Prilaz baruna Filipoviæa 29	10000	ZAGREB
300	Institut za informatièke inovacije, Sveti Križ Zaèretje	Institute for Informatical Innovation	Aleja Lavoslava Vukeliæa 2, Sveti Križ Zaèretje	49223	SVETI KRIŽ ZAÈRETJE
309	GENOS d.o.o.	GENOS Ltd for Assessment and Analysis	Trg Ljudevita Gaja 6, Osijek	31000	OSIJEK
317	Sveuèilište u Rijeci	University of Rijeka	Trg braæe Mažuraniæa 10	51000	RIJEKA
320	NOVATECH d.o.o.	NOVATECH d.o.o.	Štefanoveèka 10/6, Zagreb	10000	ZAGREB
323	Genera d.d.	Genara Inc.	Svetonedjeljska 2	10 436	Kalinovica
324	Opæa bolnica Dubrovnik	Hospital Dubrovnik	Dr. Roka Mišetiæa 2	20000	DUBROVNIK
327	Nacionalni centar	National Centre for External Valuation of Education	Petraèiæeva 4	10000	ZAGREB
329	DIU Libertas meðunarodno sveuèilište, Zagreb	DIU Libertas International University	Trg J. F. Kennedy 6b	10000	ZAGREB
